Asset,Ticker,Mar_Open,Mar_Close,Mar_High,Mar_Low,Change_Pct,Capital_Flow
India Energy (BPCL),BPCL.NS,374.8,281.0,376.95,270.0,-25.03,OUTFLOW (Selling)
India Energy (Indian Oil),IOC.NS,176.88,135.4,180.13,134.04,-23.45,OUTFLOW (Selling)
India Energy (GAIL),GAIL.NS,165.07,137.71,167.96,134.36,-16.57,OUTFLOW (Selling)
Silver Futures,SI=F,88.28,74.69,95.86,61.09,-15.39,OUTFLOW (Selling)
Gold Futures,GC=F,5294.4,4647.6,5405.0,4100.8,-12.22,OUTFLOW (Selling)
India Energy (Adani Green),ADANIGREEN.NS,903.55,806.9,926.95,801.4,-10.7,OUTFLOW (Selling)
Nifty 50 Index,^NSEI,24865.7,22331.4,24989.35,22283.85,-10.19,OUTFLOW (Selling)
India Tech (Paytm),PAYTM.NS,1059.4,959.0,1096.1,930.6,-9.48,OUTFLOW (Selling)
India Tech (Nykaa),NYKAA.NS,259.1,235.0,264.15,232.05,-9.3,OUTFLOW (Selling)
US Tech (Tesla),TSLA,403.32,371.75,416.38,352.14,-7.83,OUTFLOW (Selling)
US Tech (Microsoft),MSFT,398.55,370.17,413.05,356.28,-7.12,OUTFLOW (Selling)
Dow Jones Index,^DJI,48904.78,46341.51,49064.67,45057.28,-5.24,OUTFLOW (Selling)
S&P 500 Index,^GSPC,6881.62,6528.52,6901.01,6316.91,-5.13,OUTFLOW (Selling)
US Tech (NVIDIA),NVDA,182.47,174.4,188.88,164.27,-4.42,OUTFLOW (Selling)
US Tech (Apple),AAPL,264.72,253.79,266.53,245.51,-4.13,OUTFLOW (Selling)
US Treasury Bond ETF (20Y),TLT,89.25,86.35,89.63,85.11,-3.25,OUTFLOW (Selling)
India Tech (Delhivery),DELHIVERY.NS,427.9,416.7,434.3,392.45,-2.62,NEUTRAL (Holding)
India Energy (Reliance),RELIANCE.NS,1358.0,1343.9,1434.0,1307.0,-1.04,NEUTRAL (Holding)
US Energy (Schlumberger),SLB,51.27,51.39,54.8,43.55,0.23,NEUTRAL (Holding)
India Energy (ONGC),ONGC.NS,282.2,284.65,293.0,258.35,0.87,NEUTRAL (Holding)
US Dollar Index,DX-Y.NYB,98.38,99.96,100.64,97.77,1.61,NEUTRAL (Holding)
Gulf Energy (Saudi Aramco),2222.SR,25.48,27.4,27.4,24.39,7.54,INFLOW (Buying)
US Energy (Halliburton),HAL,35.8,38.99,41.18,33.49,8.91,INFLOW (Buying)
US Energy (Chevron),CVX,189.6,206.9,214.71,184.15,9.12,INFLOW (Buying)
US Energy (ExxonMobil),XOM,154.22,169.66,176.41,147.66,10.01,INFLOW (Buying)
US Energy (ConocoPhillips),COP,118.24,132.0,135.87,112.93,11.64,INFLOW (Buying)
US Energy (Occidental),OXY,53.95,65.0,67.45,52.05,20.48,INFLOW (Buying)
Crude Oil (WTI),CL=F,71.23,101.38,119.48,69.2,42.33,INFLOW (Buying)
Brent Crude Oil,BZ=F,77.74,118.35,119.4,75.79,52.24,INFLOW (Buying)
